"id","user_id","song_id","created_at","updated_at"
"40","88","12","2026-04-05 01:19:20","2026-04-05 01:19:20"
"41","88","4","2026-04-13 01:19:20","2026-04-13 01:19:20"
"42","89","1","2026-03-29 01:19:20","2026-03-29 01:19:20"
"43","89","11","2026-03-28 01:19:20","2026-03-28 01:19:20"
"44","89","2","2026-04-06 01:19:20","2026-04-06 01:19:20"
"45","90","1","2026-04-02 01:19:20","2026-04-02 01:19:20"
"46","90","3","2026-03-19 01:19:20","2026-03-19 01:19:20"
"47","90","4","2026-03-21 01:19:20","2026-03-21 01:19:20"
"48","63","1","2026-04-12 01:19:20","2026-04-12 01:19:20"
"49","63","5","2026-04-10 01:19:20","2026-04-10 01:19:20"
"50","67","5","2026-04-04 01:19:20","2026-04-04 01:19:20"
"51","67","10","2026-04-13 01:19:20","2026-04-13 01:19:20"
"52","67","3","2026-04-14 01:19:20","2026-04-14 01:19:20"
"53","71","14","2026-04-02 01:19:20","2026-04-02 01:19:20"
"54","75","5","2026-03-19 01:19:20","2026-03-19 01:19:20"
"55","75","2","2026-03-28 01:19:20","2026-03-28 01:19:20"
"56","79","7","2026-03-21 01:19:20","2026-03-21 01:19:20"
"57","79","1","2026-03-27 01:19:20","2026-03-27 01:19:20"
"58","83","14","2026-03-21 01:19:20","2026-03-21 01:19:20"
"59","83","4","2026-04-15 01:19:20","2026-04-15 01:19:20"
"60","83","10","2026-04-13 01:19:20","2026-04-13 01:19:20"
"61","87","11","2026-04-12 01:19:20","2026-04-12 01:19:20"
"62","3","110","2026-03-21 09:19:23","2026-03-21 09:19:23"
"63","3","142","2026-01-21 10:19:23","2026-01-21 10:19:23"
"64","3","107","2026-04-10 20:19:23","2026-04-10 20:19:23"
"65","3","143","2026-03-02 15:19:23","2026-03-02 15:19:23"
"66","3","137","2026-03-16 23:19:23","2026-03-16 23:19:23"
"67","3","108","2026-01-12 03:19:23","2026-01-12 03:19:23"
"68","3","161","2026-04-06 17:19:23","2026-04-06 17:19:23"
"69","3","112","2026-03-26 12:19:23","2026-03-26 12:19:23"
"70","3","168","2026-03-19 21:19:23","2026-03-19 21:19:23"
"71","3","171","2026-02-14 06:19:23","2026-02-14 06:19:23"
"72","3","158","2026-01-13 05:19:23","2026-01-13 05:19:23"
"73","3","111","2026-04-08 18:19:23","2026-04-08 18:19:23"
"74","3","150","2026-03-27 16:19:23","2026-03-27 16:19:23"
"75","3","156","2026-01-30 13:19:23","2026-01-30 13:19:23"
"76","3","157","2026-04-13 07:19:23","2026-04-13 07:19:23"
"77","3","152","2026-03-15 17:19:23","2026-03-15 17:19:23"
"78","3","146","2026-02-19 18:19:23","2026-02-19 18:19:23"
"79","3","141","2026-04-18 01:19:23","2026-04-18 01:19:23"
"80","3","140","2026-02-20 14:19:23","2026-02-20 14:19:23"
"81","3","135","2026-02-21 17:19:23","2026-02-21 17:19:23"
"82","3","138","2026-03-05 23:19:23","2026-03-05 23:19:23"
"83","3","56","2026-02-27 08:19:23","2026-02-27 08:19:23"
"84","3","47","2026-02-06 14:19:23","2026-02-06 14:19:23"
"85","3","162","2026-04-11 13:19:23","2026-04-11 13:19:23"
"86","3","153","2026-03-08 22:19:23","2026-03-08 22:19:23"
"87","3","147","2026-03-31 12:19:23","2026-03-31 12:19:23"
"88","3","163","2026-03-20 04:19:23","2026-03-20 04:19:23"
"89","3","136","2026-04-02 12:19:23","2026-04-02 12:19:23"
"90","3","151","2026-04-04 23:19:23","2026-04-04 23:19:23"
"91","3","52","2026-04-13 01:19:23","2026-04-13 01:19:23"
"92","3","148","2026-02-22 05:19:23","2026-02-22 05:19:23"
"93","3","20","2026-02-14 01:19:23","2026-02-14 01:19:23"
"94","3","88","2026-01-21 13:19:23","2026-01-21 13:19:23"
"95","3","100","2026-02-24 15:19:23","2026-02-24 15:19:23"
"96","3","21","2026-04-16 05:19:23","2026-04-16 05:19:23"
"97","3","4","2026-01-09 09:19:23","2026-01-09 09:19:23"
"98","3","76","2026-01-30 20:19:23","2026-01-30 20:19:23"
"99","3","160","2026-03-03 20:19:23","2026-03-03 20:19:23"
"100","3","167","2026-01-14 16:19:23","2026-01-14 16:19:23"
"101","3","95","2026-04-10 20:19:23","2026-04-10 20:19:23"
