"song_id","tag_id"
"161","3"
"161","7"
"162","1"
"162","2"
"162","9"
"162","12"
"163","1"
"163","2"
"163","7"
"163","9"
"164","10"
"164","13"
"164","14"
"164","22"
"165","1"
"165","2"
"165","10"
"165","15"
"166","5"
"166","6"
"166","12"
"166","13"
"167","8"
"167","13"
"167","15"
"167","16"
"168","5"
"168","9"
"168","13"
"168","15"
"169","1"
"169","2"
"169","7"
"169","14"
"170","5"
"170","9"
"170","10"
"170","15"
"171","1"
"171","2"
"171","4"
"171","10"
"172","8"
"172","12"
"172","18"
"172","19"
