"id","user_id","artist_package_id","stage_name","bio","avatar","cover_image","verified_at","status","revoked_at","start_date","end_date","created_at","updated_at"
"15","18","3","Văn Mai Hương",NULL,NULL,NULL,"2026-04-18 01:19:07","active",NULL,"2026-04-18 01:19:07","2027-04-18 01:19:07","2026-04-18 01:19:07","2026-04-18 01:19:07"
"16","19","3","Anh Tú",NULL,NULL,NULL,"2026-04-18 01:19:08","active",NULL,"2026-04-18 01:19:08","2027-04-18 01:19:08","2026-04-18 01:19:08","2026-04-18 01:19:08"
"17","20","3","Phan Mạnh Quỳnh",NULL,NULL,NULL,"2026-04-18 01:19:08","active",NULL,"2026-04-18 01:19:08","2027-04-18 01:19:08","2026-04-18 01:19:08","2026-04-18 01:19:08"
"18","21","3","Ali Hoàng Dương",NULL,NULL,NULL,"2026-04-18 01:19:08","active",NULL,"2026-04-18 01:19:08","2027-04-18 01:19:08","2026-04-18 01:19:08","2026-04-18 01:19:08"
"19","22","3","Hiền Thục",NULL,NULL,NULL,"2026-04-18 01:19:08","active",NULL,"2026-04-18 01:19:08","2027-04-18 01:19:08","2026-04-18 01:19:08","2026-04-18 01:19:08"
"20","23","3","Chillies",NULL,NULL,NULL,"2026-04-18 01:19:09","active",NULL,"2026-04-18 01:19:09","2027-04-18 01:19:09","2026-04-18 01:19:09","2026-04-18 01:19:09"
"21","24","3","Đan Trường",NULL,NULL,NULL,"2026-04-18 01:19:09","active",NULL,"2026-04-18 01:19:09","2027-04-18 01:19:09","2026-04-18 01:19:09","2026-04-18 01:19:09"
"22","25","3","Tường Nguyên",NULL,NULL,NULL,"2026-04-18 01:19:09","active",NULL,"2026-04-18 01:19:09","2027-04-18 01:19:09","2026-04-18 01:19:09","2026-04-18 01:19:09"
"23","26","3","Quang Linh",NULL,NULL,NULL,"2026-04-18 01:19:09","active",NULL,"2026-04-18 01:19:09","2027-04-18 01:19:09","2026-04-18 01:19:09","2026-04-18 01:19:09"
"24","27","3","Hoài Linh",NULL,NULL,NULL,"2026-04-18 01:19:10","active",NULL,"2026-04-18 01:19:10","2027-04-18 01:19:10","2026-04-18 01:19:10","2026-04-18 01:19:10"
"25","28","3","Kim Tử Long",NULL,NULL,NULL,"2026-04-18 01:19:10","active",NULL,"2026-04-18 01:19:10","2027-04-18 01:19:10","2026-04-18 01:19:10","2026-04-18 01:19:10"
"26","29","3","Hồ Phi Nal",NULL,NULL,NULL,"2026-04-18 01:19:10","active",NULL,"2026-04-18 01:19:10","2027-04-18 01:19:10","2026-04-18 01:19:10","2026-04-18 01:19:10"
"27","30","3","Huỳnh James",NULL,NULL,NULL,"2026-04-18 01:19:10","active",NULL,"2026-04-18 01:19:10","2027-04-18 01:19:10","2026-04-18 01:19:10","2026-04-18 01:19:10"
"28","31","3","Pháo",NULL,NULL,NULL,"2026-04-18 01:19:11","active",NULL,"2026-04-18 01:19:11","2027-04-18 01:19:11","2026-04-18 01:19:11","2026-04-18 01:19:11"
"29","32","3","Hoàng Thùy Linh",NULL,NULL,NULL,"2026-04-18 01:19:11","active",NULL,"2026-04-18 01:19:11","2027-04-18 01:19:11","2026-04-18 01:19:11","2026-04-18 01:19:11"
"30","33","3","Bích Phương",NULL,NULL,NULL,"2026-04-18 01:19:11","active",NULL,"2026-04-18 01:19:11","2027-04-18 01:19:11","2026-04-18 01:19:11","2026-04-18 01:19:11"
"31","34","3","Bảo Anh",NULL,NULL,NULL,"2026-04-18 01:19:11","active",NULL,"2026-04-18 01:19:11","2027-04-18 01:19:11","2026-04-18 01:19:11","2026-04-18 01:19:11"
"32","35","3","Đen Vâu",NULL,NULL,NULL,"2026-04-18 01:19:12","active",NULL,"2026-04-18 01:19:12","2027-04-18 01:19:12","2026-04-18 01:19:12","2026-04-18 01:19:12"
"33","36","3","Da LAB",NULL,NULL,NULL,"2026-04-18 01:19:12","active",NULL,"2026-04-18 01:19:12","2027-04-18 01:19:12","2026-04-18 01:19:12","2026-04-18 01:19:12"
"34","37","3","Monstar",NULL,NULL,NULL,"2026-04-18 01:19:12","active",NULL,"2026-04-18 01:19:12","2027-04-18 01:19:12","2026-04-18 01:19:12","2026-04-18 01:19:12"
"35","38","3","Double2T",NULL,NULL,NULL,"2026-04-18 01:19:12","active",NULL,"2026-04-18 01:19:12","2027-04-18 01:19:12","2026-04-18 01:19:12","2026-04-18 01:19:12"
"36","39","3","Ricky Star",NULL,NULL,NULL,"2026-04-18 01:19:13","active",NULL,"2026-04-18 01:19:13","2027-04-18 01:19:13","2026-04-18 01:19:13","2026-04-18 01:19:13"
"37","40","3","HIEUTHUHAI",NULL,NULL,NULL,"2026-04-18 01:19:13","active",NULL,"2026-04-18 01:19:13","2027-04-18 01:19:13","2026-04-18 01:19:13","2026-04-18 01:19:13"
"38","41","3","Tố My",NULL,NULL,NULL,"2026-04-18 01:19:13","active",NULL,"2026-04-18 01:19:13","2027-04-18 01:19:13","2026-04-18 01:19:13","2026-04-18 01:19:13"
"39","42","3","Văn Mẫn",NULL,NULL,NULL,"2026-04-18 01:19:13","active",NULL,"2026-04-18 01:19:13","2027-04-18 01:19:13","2026-04-18 01:19:13","2026-04-18 01:19:13"
"40","43","3","Quang Lê",NULL,NULL,NULL,"2026-04-18 01:19:14","active",NULL,"2026-04-18 01:19:14","2027-04-18 01:19:14","2026-04-18 01:19:14","2026-04-18 01:19:14"
"41","44","3","Như Quỳnh",NULL,NULL,NULL,"2026-04-18 01:19:14","active",NULL,"2026-04-18 01:19:14","2027-04-18 01:19:14","2026-04-18 01:19:14","2026-04-18 01:19:14"
"42","45","3","MTV",NULL,NULL,NULL,"2026-04-18 01:19:14","active",NULL,"2026-04-18 01:19:14","2027-04-18 01:19:14","2026-04-18 01:19:14","2026-04-18 01:19:14"
"43","46","3","Phạm Anh Khoa",NULL,NULL,NULL,"2026-04-18 01:19:14","active",NULL,"2026-04-18 01:19:14","2027-04-18 01:19:14","2026-04-18 01:19:14","2026-04-18 01:19:14"
"44","47","3","Siu Black",NULL,NULL,NULL,"2026-04-18 01:19:15","active",NULL,"2026-04-18 01:19:15","2027-04-18 01:19:15","2026-04-18 01:19:15","2026-04-18 01:19:15"
"45","48","3","Tùng Dương",NULL,NULL,NULL,"2026-04-18 01:19:15","active",NULL,"2026-04-18 01:19:15","2027-04-18 01:19:15","2026-04-18 01:19:15","2026-04-18 01:19:15"
"46","49","3","Lương Quý Tuấn",NULL,NULL,NULL,"2026-04-18 01:19:15","active",NULL,"2026-04-18 01:19:15","2027-04-18 01:19:15","2026-04-18 01:19:15","2026-04-18 01:19:15"
"47","50","3","Thanh Hưng",NULL,NULL,NULL,"2026-04-18 01:19:15","active",NULL,"2026-04-18 01:19:15","2027-04-18 01:19:15","2026-04-18 01:19:15","2026-04-18 01:19:15"
"48","51","3","Trần Mạnh Cường",NULL,NULL,NULL,"2026-04-18 01:19:16","active",NULL,"2026-04-18 01:19:16","2027-04-18 01:19:16","2026-04-18 01:19:16","2026-04-18 01:19:16"
"49","52","3","Mochii",NULL,NULL,NULL,"2026-04-18 01:19:16","active",NULL,"2026-04-18 01:19:16","2027-04-18 01:19:16","2026-04-18 01:19:16","2026-04-18 01:19:16"
"50","53","3","Wendy Thảo",NULL,NULL,NULL,"2026-04-18 01:19:16","active",NULL,"2026-04-18 01:19:16","2027-04-18 01:19:16","2026-04-18 01:19:16","2026-04-18 01:19:16"
"51","54","3","Nguyễn Hữu Kha",NULL,NULL,NULL,"2026-04-18 01:19:16","active",NULL,"2026-04-18 01:19:16","2027-04-18 01:19:16","2026-04-18 01:19:16","2026-04-18 01:19:16"
"52","55","3","Mr T",NULL,NULL,NULL,"2026-04-18 01:19:17","active",NULL,"2026-04-18 01:19:17","2027-04-18 01:19:17","2026-04-18 01:19:17","2026-04-18 01:19:17"
"53","56","3","Hồ Quang Hiếu",NULL,NULL,NULL,"2026-04-18 01:19:17","active",NULL,"2026-04-18 01:19:17","2027-04-18 01:19:17","2026-04-18 01:19:17","2026-04-18 01:19:17"
"54","57","3","Tlinh",NULL,NULL,NULL,"2026-04-18 01:19:17","active",NULL,"2026-04-18 01:19:17","2027-04-18 01:19:17","2026-04-18 01:19:17","2026-04-18 01:19:17"
"55","58","3","Nguyễn Đức Cường",NULL,NULL,NULL,"2026-04-18 01:19:17","active",NULL,"2026-04-18 01:19:17","2027-04-18 01:19:17","2026-04-18 01:19:17","2026-04-18 01:19:17"
"56","59","3","Mr A",NULL,NULL,NULL,"2026-04-18 01:19:17","active",NULL,"2026-04-18 01:19:17","2027-04-18 01:19:17","2026-04-18 01:19:17","2026-04-18 01:19:17"
"57","60","3","JustaTee",NULL,NULL,NULL,"2026-04-18 01:19:18","active",NULL,"2026-04-18 01:19:18","2027-04-18 01:19:18","2026-04-18 01:19:18","2026-04-18 01:19:18"
"58","61","3","Soobin Hoàng Sơn",NULL,NULL,NULL,"2026-04-18 01:19:18","active",NULL,"2026-04-18 01:19:18","2027-04-18 01:19:18","2026-04-18 01:19:18","2026-04-18 01:19:18"
"59","62","3","Binz",NULL,NULL,NULL,"2026-04-18 01:19:18","active",NULL,"2026-04-18 01:19:18","2027-04-18 01:19:18","2026-04-18 01:19:18","2026-04-18 01:19:18"
"60","122","1","Report User kbD5","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-03-17 01:19:22","2027-03-17 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"61","127","1","Report User w2ab","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-02-15 00:00:00","2027-02-15 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"62","142","1","Report User h4Mp","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2025-05-28 00:00:00","2026-05-28 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"63","162","1","Report User dUkF","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-03-11 01:19:22","2027-03-11 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"64","164","1","Report User Xm5p","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-02-02 00:00:00","2027-02-02 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"65","166","1","Report User RNjZ","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-04-15 01:19:22","2027-04-15 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"66","171","1","Report User ansn","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-01-26 01:19:22","2027-01-26 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"67","176","1","Report User nADZ","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-04-16 00:00:00","2027-04-16 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"68","190","1","Report User uqFn","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2025-11-14 00:00:00","2026-11-14 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"69","215","1","Report User ruZP","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-03-17 00:00:00","2027-03-17 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"70","225","1","Report User FTof","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-03-16 00:00:00","2027-03-16 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"71","227","1","Report User RNl5","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-02-11 00:00:00","2027-02-11 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"72","236","1","Report User GpTJ","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2025-05-29 00:00:00","2026-05-29 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"73","245","1","Report User Ughn","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-01-21 01:19:22","2027-01-21 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"74","262","1","Report User 6npD","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-02-21 01:19:22","2027-02-21 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"75","274","1","Report User HV51","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-03-29 01:19:22","2027-03-29 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"76","279","1","Report User 7JDf","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-04-16 00:00:00","2027-04-16 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"77","284","1","Report User XYAo","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-01-24 01:19:22","2027-01-24 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"78","288","1","Report User Lxzu","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-04-13 01:19:22","2027-04-13 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"79","299","1","Report User l0aX","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-01-21 01:19:22","2027-01-21 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"80","309","1","Report User pQ5P","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2025-11-04 00:00:00","2026-11-04 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"81","330","1","Report User hlxK","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-01-24 01:19:22","2027-01-24 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"82","343","1","Report User tHlb","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-04-12 01:19:22","2027-04-12 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"83","355","1","Report User oJ3V","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-01-03 00:00:00","2027-01-03 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"84","363","1","Report User 4U2o","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-02-12 01:19:22","2027-02-12 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"85","382","1","Report User URAZ","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-02-07 00:00:00","2027-02-07 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"86","387","1","Report User eCO9","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-04-15 01:19:22","2027-04-15 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"87","395","1","Report User 2Lmg","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-04-15 00:00:00","2027-04-15 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"88","402","1","Report User j2DY","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-02-05 01:19:22","2027-02-05 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"89","413","1","Report User BQpd","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-01-27 01:19:22","2027-01-27 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"90","421","1","Report User KXyY","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-03-10 00:00:00","2027-03-10 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"91","430","1","Report User sjZJ","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2025-12-25 01:19:22","2026-12-25 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"92","435","1","Report User viVJ","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-02-21 01:19:22","2027-02-21 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"93","439","1","Report User zu9f","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-01-06 01:19:22","2027-01-06 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"94","440","1","Report User 9bJt","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2025-07-22 00:00:00","2026-07-22 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"95","448","1","Report User bizY","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-02-23 01:19:22","2027-02-23 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"96","452","1","Report User 0oJj","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-02-25 01:19:22","2027-02-25 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"97","468","1","Report User PnVO","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-01-24 01:19:22","2027-01-24 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
"98","471","1","Report User tHiW","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-01-04 00:00:00","2027-01-04 00:00:00","2026-04-18 01:19:22","2026-04-18 01:19:22"
"99","489","1","Report User 15dX","Hồ sơ nghệ sĩ được tạo tự động cho báo cáo.","avt.jpg",NULL,NULL,"active",NULL,"2026-03-14 01:19:22","2027-03-14 01:19:22","2026-04-18 01:19:22","2026-04-18 01:19:22"
